resultID,raceID,driverID,constructorID,qualifyID,FinalPosition,RacePoints,FastestLap,TotalLaps
262,30,6,3,267,14,0,01:51.0,43
263,30,18,11,265,15,0,01:50.7,43
264,30,15,7,259,16,0,01:50.5,43
265,30,21,10,268,17,0,01:51.7,43
266,30,8,6,252,18,0,01:47.9,42
267,30,22,11,264,0,0,01:52.1,19
268,30,12,4,260,0,0,01:51.1,13
269,31,20,5,269,1,10,01:30.5,53
270,31,5,1,270,2,8,01:30.3,53
271,31,9,2,279,3,6,01:30.3,53
272,31,4,4,276,4,5,01:30.0,53
273,31,2,2,278,5,4,01:29.8,53
274,31,13,6,274,6,3,01:29.7,53
275,31,1,1,283,7,2,01:29.7,53
276,31,17,9,271,8,1,01:29.7,53
277,31,8,6,282,9,0,01:28.0,53
278,31,12,4,285,10,0,01:30.9,53
279,31,10,7,277,11,0,01:29.9,53
280,31,6,3,286,12,0,01:30.2,53
281,31,15,7,275,13,0,01:30.9,53
282,31,3,3,273,14,0,01:30.0,53
283,31,18,11,287,15,0,01:29.8,53
284,31,14,9,281,16,0,01:32.5,52
285,31,22,11,284,17,0,01:33.9,52
286,31,7,5,272,18,0,01:29.3,52
287,31,16,10,288,19,0,01:33.5,51
288,31,21,10,280,0,0,01:37.3,11
289,32,4,4,303,1,10,01:45.8,61
290,32,3,3,297,2,8,01:46.5,61
291,32,1,1,290,3,6,01:46.1,61
292,32,10,7,296,4,5,01:47.0,61
293,32,20,5,295,5,4,01:47.3,61
294,32,2,2,294,6,3,01:47.3,61
295,32,14,9,302,7,2,01:47.6,61
296,32,6,3,298,8,1,01:47.3,61
297,32,18,11,300,9,0,01:48.1,61
298,32,5,1,293,10,0,01:47.3,61
299,32,9,2,292,11,0,01:46.9,61
300,32,7,5,305,12,0,01:47.8,61
301,32,13,6,289,13,0,01:45.8,61
302,32,21,10,308,14,0,01:49.1,61
303,32,8,6,291,15,0,01:45.6,57
304,32,15,7,299,0,0,01:47.0,50
305,32,16,10,307,0,0,01:49.3,49
306,32,17,9,301,0,0,01:49.2,29
307,32,22,11,306,0,0,01:50.3,14
308,32,12,4,304,0,0,01:50.4,13
309,33,4,4,312,1,10,01:19.1,67
310,33,9,2,314,2,8,01:19.3,67
311,33,8,6,310,3,6,01:19.0,67
312,33,12,4,320,4,5,01:19.2,67
313,33,15,7,315,5,4,01:19.5,67
314,33,20,5,317,6,3,01:19.6,67
315,33,13,6,313,7,2,01:18.4,67
316,33,17,9,321,8,1,01:19.8,67
317,33,2,2,324,9,0,01:19.5,67
318,33,7,5,318,10,0,01:19.3,67
319,33,3,3,323,11,0,01:19.5,67
320,33,1,1,309,12,0,01:19.6,67
321,33,22,11,325,13,0,01:20.6,66
322,33,18,11,326,14,0,01:20.8,66
323,33,6,3,322,15,0,01:20.4,66
324,33,21,10,328,0,0,01:21.6,21
325,33,5,1,311,0,0,01:19.3,16
326,33,16,10,327,0,0,01:21.2,8
327,33,10,7,316,0,0,01:20.3,6
328,33,14,9,319,0,0,0,0
329,34,1,1,329,1,10,01:36.3,56
330,34,13,6,331,2,8,01:36.6,56
331,34,8,6,330,3,6,01:36.5,56
332,34,4,4,332,4,5,01:36.7,56
333,34,2,2,335,5,4,01:36.5,56
334,34,9,2,340,6,3,01:36.9,56
335,34,10,7,341,7,2,01:36.7,56
336,34,12,4,339,8,1,01:37.0,56
337,34,20,5,336,9,0,01:37.2,56
338,34,14,9,344,10,0,01:37.8,56
339,34,22,11,342,11,0,01:37.8,56
340,34,6,3,345,12,0,01:38.0,56
341,34,7,5,338,13,0,01:37.5,56
342,34,17,9,334,14,0,01:37.7,56
343,34,3,3,343,15,0,01:37.2,55
344,34,18,11,346,16,0,01:37.8,55
345,34,21,10,348,17,0,01:38.4,55
346,34,5,1,333,0,0,01:37.3,49
347,34,16,10,347,0,0,01:39.7,13
348,34,15,7,337,0,0,02:39.6,2
349,35,13,6,349,1,10,01:13.7,71
350,35,4,4,354,2,8,01:14.2,71
351,35,8,6,351,3,6,01:14.1,71
352,35,20,5,355,4,5,01:14.2,71
353,35,1,1,352,5,4,01:14.2,71
354,35,10,7,358,6,3,01:14.1,71
355,35,5,1,353,7,2,01:14.2,71
356,35,15,7,350,8,1,01:14.2,71
357,35,17,9,360,9,0,01:15.0,71
358,35,2,2,356,10,0,01:14.7,70
